ABSLBANINAV,Missing data,2024-09-06 08:01:49
EBBET0INAV,No data fetched,2024-09-06 08:01:50
EBBET0INAV,Missing data,2024-09-06 08:01:50
EBETF0INAV,No data fetched,2024-09-06 08:01:50
EBETF0INAV,Missing data,2024-09-06 08:01:50
ICICIM1INAV,No data fetched,2024-09-06 08:01:50
ICICIM1INAV,Missing data,2024-09-06 08:01:50
MANXT50INAV,No data fetched,2024-09-06 08:01:50
MANXT50INAV,Missing data,2024-09-06 08:01:50
EBBETAINAV,No data fetched,2024-09-06 08:01:51
EBBETAINAV,Missing data,2024-09-06 08:01:51
EBBETF0INAV,No data fetched,2024-09-06 08:01:51
EBBETF0INAV,Missing data,2024-09-06 08:01:51
ICICIALINAV,No data fetched,2024-09-06 08:01:51
ICICIALINAV,Missing data,2024-09-06 08:01:51
ICICITEINAV,No data fetched,2024-09-06 08:01:51
ICICITEINAV,Missing data,2024-09-06 08:01:51
HBANKETINAV,No data fetched,2024-09-06 08:01:52
HBANKETINAV,Missing data,2024-09-06 08:01:52
UTIBANKINAV,No data fetched,2024-09-06 08:01:52
UTIBANKINAV,Missing data,2024-09-06 08:01:52
MAESGETINAV,No data fetched,2024-09-06 08:01:52
MAESGETINAV,Missing data,2024-09-06 08:01:52
MOGSECINAV,No data fetched,2024-09-06 08:01:52
MOGSECINAV,Missing data,2024-09-06 08:01:52
INFRABEINAV,No data fetched,2024-09-06 08:01:53
INFRABEINAV,Missing data,2024-09-06 08:01:53
MAFANGINAV,No data fetched,2024-09-06 08:01:53
MAFANGINAV,Missing data,2024-09-06 08:01:53
ICICIPHINAV,No data fetched,2024-09-06 08:01:53
ICICIPHINAV,Missing data,2024-09-06 08:01:53
MAFSETFINAV,No data fetched,2024-09-06 08:01:53
MAFSETFINAV,Missing data,2024-09-06 08:01:53
ICICIFMINAV,No data fetched,2024-09-06 08:01:54
ICICIFMINAV,Missing data,2024-09-06 08:01:54
AXISTECINAV,No data fetched,2024-09-06 08:01:54
AXISTECINAV,Missing data,2024-09-06 08:01:54
AXISHETINAV,No data fetched,2024-09-06 08:01:54
AXISHETINAV,Missing data,2024-09-06 08:01:54
AXISCETINAV,No data fetched,2024-09-06 08:01:54
AXISCETINAV,Missing data,2024-09-06 08:01:54
MASPTOPINAV,No data fetched,2024-09-06 08:01:55
MASPTOPINAV,Missing data,2024-09-06 08:01:55
ICICICOINAV,No data fetched,2024-09-06 08:01:55
ICICICOINAV,Missing data,2024-09-06 08:01:55
DSPNEWEINAV,No data fetched,2024-09-06 08:01:55
DSPNEWEINAV,Missing data,2024-09-06 08:01:55
MAHKTECINAV,No data fetched,2024-09-06 08:01:55
MAHKTECINAV,Missing data,2024-09-06 08:01:55
BBETF04INAV,No data fetched,2024-09-06 08:01:56
BBETF04INAV,Missing data,2024-09-06 08:01:56
MONQ50INAV,No data fetched,2024-09-06 08:01:56
MONQ50INAV,Missing data,2024-09-06 08:01:56
DSPQ50EINAV,No data fetched,2024-09-06 08:01:56
DSPQ50EINAV,Missing data,2024-09-06 08:01:56
DSPN50INAV,No data fetched,2024-09-06 08:01:56
DSPN50INAV,Missing data,2024-09-06 08:01:56
ICICIAUINAV,No data fetched,2024-09-06 08:01:57
ICICIAUINAV,Missing data,2024-09-06 08:01:57
MAMFGETINAV,No data fetched,2024-09-06 08:01:57
MAMFGETINAV,Missing data,2024-09-06 08:01:57
MOMOMENINAV,No data fetched,2024-09-06 08:01:57
MOMOMENINAV,Missing data,2024-09-06 08:01:57
TECHINAV,No data fetched,2024-09-06 08:01:57
TECHINAV,Missing data,2024-09-06 08:01:57
HEALTHYINAV,No data fetched,2024-09-06 08:01:58
HEALTHYINAV,Missing data,2024-09-06 08:01:58
BSLNIFTINAV,No data fetched,2024-09-06 08:01:58
BSLNIFTINAV,Missing data,2024-09-06 08:01:58
ICICI5GINAV,No data fetched,2024-09-06 08:01:58
ICICI5GINAV,Missing data,2024-09-06 08:01:58
MAM150EINAV,No data fetched,2024-09-06 08:01:58
MAM150EINAV,Missing data,2024-09-06 08:01:58
MOLOWVOINAV,No data fetched,2024-09-06 08:01:59
MOLOWVOINAV,Missing data,2024-09-06 08:01:59
ICICSENNAV,No data fetched,2024-09-06 08:01:59
ICICSENNAV,Missing data,2024-09-06 08:01:59
LIQUIDBINAV,No data fetched,2024-09-06 08:01:59
LIQUIDBINAV,Missing data,2024-09-06 08:01:59
NIFTYBEINAV,No data fetched,2024-09-06 08:01:59
